Date,Dividends
2010-12-17,0.653000
2010-09-17,0.602000
2010-06-18,0.531000
2010-03-19,0.480000
2009-12-18,0.590000
2009-09-18,0.508000
2009-06-19,0.518000
2009-03-20,0.561000
2008-12-19,0.719000
2008-09-19,0.691000
2008-06-20,0.669000
2008-03-20,0.642000
2007-12-21,0.775000
2007-09-21,0.719000
2007-06-15,0.656000
2007-03-16,0.551000
2006-12-15,0.793000
2006-09-15,0.579000
2006-06-16,0.555000
2006-03-17,0.519000
2005-12-16,0.672000
2005-09-16,0.522000
2005-06-17,0.488000
2005-03-18,0.467000
2004-12-17,0.568000
2004-11-15,0.351000
2004-09-17,0.469000
2004-06-18,0.414000
2004-03-19,0.395000
2003-12-19,0.516000
2003-09-19,0.400000
2003-06-20,0.360000
2003-03-21,0.354000
2002-12-20,0.436000
2002-09-20,0.378000
2002-06-21,0.353000
2002-03-15,0.331000
2001-12-21,0.393000
2001-09-21,0.370000
2001-06-15,0.346000
2001-03-16,0.316000
2000-12-15,0.360000
2000-09-15,0.375000
2000-06-16,0.348000
2000-03-17,0.371000
